user1,password123
user2,securepass456
user3,mysecretword789
user4,letmein123
user5,strongpwd2020
user6,accessgranted1
user7,pa$$word!23
user8,secret@code
user9,12345678
user10,password4321
user11,securepassword
user12,123abc!@#
user13,letmeinnow
user14,passpasspass
user15,mysecurepw
user16,openai2023
user17,p@ssword
user18,admin123
user19,ilovecoding
user20,password!123
user21,securelogin
user22,letmeinplease
user23,pass1234
user24,newpassword
user25,hello123
user26,secure123
user27,access123
user28,password321
user29,myloginpw
user30,letmein2023
